"","x1","x2","x3","x4","x5"
"301",433,490,51,5070,43983
"302",342,494,44,4963,35691
"303",490,484,45,5028,50085
"304",337,489,43,5103,34553
"305",328,504,30,4685,33902
"306",410,507,28,5152,41681
"307",277,508,38,4931,28755
"308",422,491,47,4465,43126
"309",336,490,47,4968,34537
"310",447,495,41,5133,45918
"311",390,502,36,5382,39782
"312",575,503,27,4997,58531
"313",375,490,29,5060,38731
"314",209,503,24,4902,21828
"315",422,509,23,5057,43480
"316",344,493,37,5010,35492
"317",422,498,45,4716,43515
"318",416,496,38,5019,42570
"319",486,506,46,5030,49581
"320",394,497,38,4961,40507
"321",373,509,40,4336,38694
"322",412,491,29,4827,42463
"323",314,504,34,4680,32462
"324",543,490,28,5286,55209
"325",443,500,38,4709,45106
"326",412,503,30,4834,41736
"327",482,491,37,4676,49124
"328",524,499,53,4725,53508
"329",393,492,19,5299,40121
"330",437,516,38,4517,44375
"331",421,496,45,4730,43181
"332",449,499,41,5299,45883
"333",349,507,42,4930,35633
"334",321,482,47,5152,33621
"335",334,501,52,4986,34646
"336",427,505,47,5069,43208
"337",512,479,44,4741,52419
"338",345,492,33,4638,35475
"339",346,503,36,4786,35433
"340",467,501,48,5052,47690
"341",314,503,45,5162,32166
"342",597,476,35,5203,60939
"343",397,499,34,5040,41259
"344",459,511,44,5399,46638
"345",412,507,36,4993,42713
"346",430,496,27,5020,43711
"347",488,495,42,5388,49406
"348",489,511,50,5187,49400
"349",421,492,44,5234,42948
"350",485,495,42,4765,49710
"351",422,498,42,4819,43567
"352",411,517,43,5186,41880
"353",557,502,46,4745,56838
"354",321,491,40,5078,32962
"355",257,495,24,4979,26891
"356",450,511,38,4852,46138
"357",362,501,24,5050,37226
"358",378,478,42,5292,38955
"359",440,505,37,5430,44692
"360",370,511,54,5595,37875
"361",218,498,50,4617,23101
"362",417,487,48,5279,42786
"363",312,491,32,5133,32253
"364",366,493,33,5073,37981
"365",439,494,28,4835,44664
"366",560,515,36,5116,57051
"367",362,486,37,4851,37173
"368",427,519,40,5236,44317
"369",169,491,25,4858,17709
"370",442,495,37,5139,45244
"371",412,507,50,5128,42279
"372",347,504,40,4913,35269
"373",287,519,31,4890,29914
"374",291,493,30,5212,30090
"375",382,506,51,4798,39299
"376",439,508,33,4577,44786
"377",482,511,47,4781,49162
"378",423,490,31,4630,43406
"379",484,493,35,5046,49806
"380",437,513,43,5293,45412
"381",436,495,37,5035,44351
"382",378,490,30,5232,38374
"383",321,503,43,4760,32601
"384",384,510,41,4343,39550
"385",450,500,39,5019,46508
"386",318,513,40,5059,32801
"387",413,491,50,5226,42757
"388",501,493,41,4605,51285
"389",477,504,37,5018,48440
"390",521,493,38,4594,53479
"391",379,493,36,4731,38951
"392",448,503,45,4917,45751
"393",282,503,34,5084,29172
"394",250,488,37,4579,25901
"395",387,503,31,5446,39540
"396",482,495,39,4694,48957
"397",284,504,51,4868,29371
"398",394,506,40,5018,40366
"399",363,491,41,5062,37292
"400",375,491,36,4946,38817
"401",450,505,44,5129,45713
"402",460,495,46,5224,46636
"403",357,507,35,4526,36103
"404",398,497,41,4917,40796
"405",368,511,42,5281,37977
"406",179,508,47,5283,18962
"407",332,504,35,4756,34355
"408",475,497,40,5134,48566
"409",392,486,34,5457,40011
"410",355,507,42,5229,36362
"411",403,492,41,4597,40815
"412",295,505,38,4597,30520
"413",309,485,37,5066,31729
"414",494,507,32,4827,50049
"415",434,496,46,4992,44118
"416",428,494,25,5225,43767
"417",389,493,36,5079,39991
"418",498,493,41,4880,50905
"419",378,497,41,5193,38668
"420",433,476,40,5181,44225
"421",302,503,43,5329,31739
"422",330,498,38,4407,33980
"423",340,504,37,5091,34809
"424",306,503,38,4984,31962
"425",334,503,36,5158,34219
"426",425,505,43,4993,43096
"427",327,497,38,5056,33986
"428",379,496,42,4959,38984
"429",559,498,45,4952,56653
"430",483,509,34,5055,49489
"431",399,500,43,4921,40596
"432",397,504,43,4772,40620
"433",343,501,37,5046,35173
"434",451,482,51,5123,46257
"435",493,510,48,5250,50826
"436",370,496,32,4927,37690
"437",641,503,45,5157,65013
"438",348,506,36,5274,35685
"439",390,504,43,4602,39589
"440",388,495,46,4596,39811
"441",224,506,39,4905,23603
"442",327,508,44,4856,33281
"443",416,499,24,5333,42618
"444",484,494,34,4764,49145
"445",266,503,39,4525,27435
"446",389,487,44,4773,40156
"447",330,499,36,5108,33829
"448",552,496,40,5414,56159
"449",477,502,31,5200,48721
"450",316,504,51,5367,32407
"451",388,493,41,4716,40581
"452",541,512,28,5162,55086
"453",422,493,51,5083,43267
"454",441,490,52,4910,45141
"455",479,494,48,4967,49023
"456",352,483,35,4879,35989
"457",395,501,45,5310,40452
"458",429,491,52,4833,43484
"459",317,507,33,4744,32843
"460",291,502,53,5020,29976
"461",440,487,48,5291,45332
"462",473,516,32,5020,48204
"463",421,499,53,5180,43433
"464",346,492,49,5132,35820
"465",490,500,38,4831,50033
"466",503,502,38,5530,51228
"467",332,497,51,5073,34551
"468",279,493,36,4904,28849
"469",454,494,41,5133,46643
"470",395,518,39,5258,40164
"471",438,504,35,4743,44578
"472",450,520,45,4660,46341
"473",343,492,41,4962,35466
"474",421,490,46,4813,43070
"475",432,497,44,5136,43898
"476",365,501,39,4805,37606
"477",465,497,43,5120,47694
"478",303,508,51,5146,31238
"479",367,498,38,4956,37254
"480",419,505,35,5249,42958
"481",507,490,31,4901,51665
"482",411,502,49,5307,42028
"483",398,490,34,5371,41508
"484",533,505,48,4685,54473
"485",446,493,29,5023,45201
"486",369,500,29,5847,37598
"487",482,496,42,5232,49365
"488",408,494,46,4808,41976
"489",354,495,49,5394,36152
"490",438,501,31,4902,44577
"491",398,489,40,4811,40840
"492",395,502,56,5162,40482
"493",385,504,53,5316,39521
"494",339,501,44,5196,35179
"495",291,504,35,5057,30109
"496",277,494,35,4858,29057
"497",366,497,30,4872,37348
"498",536,506,37,4955,55143
"499",356,499,36,5181,36607
"500",516,498,37,4929,52389
"501",275,489,28,4873,28606
"502",381,493,30,4844,39536
"503",416,493,46,4862,42724
"504",417,513,40,4908,42520
"505",287,502,41,5247,29488
"506",401,487,41,5019,41262
"507",321,496,38,4957,33185
"508",467,500,40,5025,47548
"509",429,500,46,5074,43816
"510",413,501,39,4645,41900
"511",521,506,46,5025,53270
"512",454,512,42,5233,46047
"513",443,494,37,4597,45208
"514",461,513,27,5193,46982
"515",395,493,39,5199,40491
"516",445,502,30,4655,45614
"517",534,501,35,5496,54319
"518",344,501,34,5448,35150
"519",392,510,28,5463,40447
"520",475,493,44,4815,48513
"521",442,505,42,5040,45221
"522",324,511,36,4465,33168
"523",382,504,53,5160,39031
"524",345,502,34,5102,35547
"525",420,486,47,4620,42658
"526",492,490,40,5058,50173
"527",565,505,35,5223,57291
"528",411,500,38,5066,42539
"529",377,495,43,5230,38746
"530",274,507,51,5014,28300
"531",384,500,35,4948,39404
"532",440,485,42,4863,44981
"533",416,506,38,4916,42102
"534",426,496,38,5013,43673
"535",437,498,48,5287,44424
"536",369,499,33,5530,37964
"537",308,490,34,4617,32077
"538",380,510,33,5300,38992
"539",407,502,39,5234,41556
"540",507,488,46,5603,51389
"541",367,494,41,5194,37485
"542",364,505,34,4899,37144
"543",461,488,49,4781,47042
"544",298,514,51,4757,30813
"545",286,503,46,5102,29729
"546",315,502,40,4833,32718
"547",439,488,35,5315,44731
"548",395,495,49,5150,39930
"549",458,492,25,4765,46436
"550",449,508,28,4845,45513
"551",354,495,34,4969,36349
"552",186,511,45,4891,19100
"553",420,505,36,4737,42985
"554",523,501,43,4668,53173
"555",399,495,42,5159,40864
"556",429,501,34,4932,43727
"557",233,502,42,4851,24525
"558",530,510,53,5080,54035
"559",524,487,48,4745,53408
"560",398,502,34,4522,40861
"561",506,503,20,5017,51829
"562",372,485,53,5039,38264
"563",226,504,47,5168,23644
"564",573,498,37,5561,57935
"565",406,491,47,4657,41573
"566",531,498,43,5022,54252
"567",265,507,30,5452,27421
"568",434,501,45,4717,44022
"569",347,507,43,5347,35750
"570",420,503,47,5452,43111
"571",553,498,38,4823,56321
"572",463,505,41,5033,47385
"573",411,505,47,5094,42181
"574",414,490,34,5471,41999
"575",333,516,34,5368,34245
"576",442,481,50,5307,45598
"577",415,505,40,4968,42635
"578",413,498,41,5341,41678
"579",312,501,31,5232,32209
"580",504,500,43,5320,51572
"581",361,495,48,5089,37538
"582",612,502,46,5044,62244
"583",459,497,36,5156,47112
"584",353,500,41,5111,36300
"585",521,507,40,5275,53267
"586",418,522,27,5036,42820
"587",448,498,28,5159,45941
"588",411,489,43,5079,42206
"589",556,497,31,4854,56678
"590",355,510,46,4506,36540
"591",330,500,36,5239,33895
"592",401,497,39,4895,40989
"593",325,508,48,4765,33363
"594",445,496,34,5536,45313
"595",321,498,53,5170,33319
"596",536,495,44,5448,54659
"597",365,504,44,4652,37218
"598",363,484,49,5111,37525
"599",403,499,45,5186,41565
"600",433,500,40,4939,44852
"601",319,496,47,4569,32898
"602",473,519,38,5182,47953
"603",446,493,48,5293,45397
"604",348,514,39,4651,35630
"605",474,498,29,4704,48674
"606",370,496,41,5387,37918
"607",520,495,37,5218,53308
"608",288,491,43,4791,29825
"609",495,493,42,4873,50047
"610",527,494,41,5078,53855
"611",386,507,45,5144,39414
"612",321,491,48,5180,33238
"613",405,506,41,4770,42088
"614",422,511,29,4960,43369
"615",487,486,48,5099,49504
"616",353,495,40,5190,36347
"617",309,498,46,4762,31920
"618",442,502,43,4845,45051
"619",403,514,34,4891,41348
"620",377,500,29,4791,38886
"621",258,493,37,4827,26399
"622",328,482,33,5127,33404
"623",303,507,37,5159,31524
"624",426,501,41,4943,43406
"625",423,499,35,5683,42677
"626",468,505,48,4887,47747
"627",371,498,58,5737,38118
"628",426,502,35,4851,43632
"629",417,499,38,5386,42416
"630",346,513,39,4783,35432
"631",546,493,36,5293,55514
"632",477,491,49,4981,49106
"633",471,500,48,4890,48088
"634",425,510,38,5258,43565
"635",426,502,44,4885,43391
"636",459,492,36,5293,46576
"637",506,497,57,4922,51598
"638",459,505,43,4907,47252
"639",488,499,41,5054,50112
"640",432,504,28,5044,43951
"641",387,483,39,4848,39533
"642",517,495,38,4624,52728
"643",304,496,37,4731,31577
"644",394,508,40,4909,40975
"645",470,487,43,5025,48120
"646",413,510,40,4811,42285
"647",363,496,44,5310,37405
"648",380,504,44,5268,38979
"649",364,497,19,4677,37077
"650",453,509,35,5056,46543
"651",418,506,37,4945,42692
"652",320,512,43,5748,32616
"653",428,496,45,5111,43761
"654",419,499,37,4934,42904
"655",418,493,39,5027,43312
"656",434,496,30,5264,44068
"657",472,493,34,4535,48590
"658",465,507,31,5428,47805
"659",399,499,50,5208,40643
"660",628,503,47,4801,63691
"661",460,496,49,4675,47263
"662",282,501,39,4913,28743
"663",392,492,35,5211,40528
"664",422,510,38,4750,42935
"665",274,510,31,4883,28412
"666",316,495,35,5198,32251
"667",395,506,41,5185,40645
"668",426,501,35,4737,43514
"669",544,510,47,5440,55250
"670",415,499,33,4827,42492
"671",386,513,54,4800,39652
"672",332,501,32,4808,34401
"673",512,499,40,5236,51931
"674",500,509,38,4584,51062
"675",424,495,27,4878,43509
"676",444,499,40,4775,45362
"677",396,490,40,4546,40408
"678",554,497,38,5192,56107
"679",290,503,45,4990,29947
"680",517,497,30,5154,52672
"681",393,483,39,5200,40209
"682",350,508,39,5368,36274
"683",457,508,34,4564,46646
"684",418,493,24,4883,42863
"685",411,492,38,4773,42412
"686",234,507,48,4855,24358
"687",445,513,34,5198,45262
"688",348,486,35,5091,35648
"689",380,495,34,4762,38775
"690",413,506,43,5168,42180
"691",323,499,41,4985,33229
"692",426,485,44,4946,43283
"693",417,488,38,5313,42714
"694",204,497,35,4665,21876
"695",340,500,33,4808,35247
"696",410,498,41,4977,42085
"697",367,520,29,5192,37897
"698",373,492,35,5015,38148
"699",481,499,38,5413,48977
"700",408,494,31,5139,41997
"701",367,506,44,4808,38148
"702",454,502,40,5023,46196
"703",503,515,40,4778,51411
"704",440,503,33,5077,45454
"705",383,499,32,5102,39408
"706",487,499,48,4853,49650
"707",445,506,42,4821,45292
"708",577,503,40,4784,58507
"709",388,491,23,5476,39460
"710",553,515,48,4992,56006
"711",510,491,47,5182,51879
"712",502,491,44,4907,51389
"713",491,510,37,5433,49711
"714",282,515,43,4651,28805
"715",274,506,51,5249,28415
"716",429,510,44,5265,43510
"717",406,506,36,4368,41730
"718",262,502,45,4701,27232
"719",416,492,46,5098,42539
"720",315,503,46,4768,32357
"721",346,500,37,5005,35592
"722",304,500,36,4671,31499
"723",326,487,46,4924,33630
"724",477,486,51,5346,48643
"725",416,495,35,5107,42359
"726",346,501,28,4642,35327
"727",430,505,35,5290,44150
"728",382,497,43,4842,39162
"729",424,515,38,5297,43228
"730",444,505,51,5201,45597
"731",376,496,53,5307,38958
"732",411,497,45,5174,42183
"733",409,503,23,4726,41458
"734",443,491,41,4613,45150
"735",317,497,36,4971,32343
"736",421,498,45,4941,43486
"737",388,496,43,5296,39497
"738",378,508,30,4869,38944
"739",409,511,37,4896,41664
"740",437,498,36,5179,44821
"741",432,493,41,5164,44288
"742",486,497,31,4389,50384
"743",420,489,26,5031,43247
"744",426,505,45,4845,43520
"745",378,502,47,5435,38590
"746",350,494,33,5023,35952
"747",447,504,28,5386,45648
"748",314,506,37,5456,32143
"749",528,497,42,4662,53752
"750",356,501,51,4769,36058
"751",398,496,44,4836,40443
"752",501,491,38,4950,50842
"753",400,483,31,4663,41071
"754",393,504,39,5219,40506
"755",259,490,36,4771,27114
"756",267,493,40,5354,27414
"757",442,511,27,5019,44987
"758",471,511,59,4800,47885
"759",587,486,43,5496,59563
"760",465,498,46,4840,47450
"761",398,494,44,4630,40637
"762",438,484,38,4684,44940
"763",399,485,40,4876,40713
"764",364,510,35,5163,37083
"765",322,496,30,5140,33249
"766",432,484,27,5296,44203
"767",249,491,39,4480,25601
"768",309,503,26,4907,31959
"769",412,495,39,5235,42227
"770",317,490,33,4977,32374
"771",436,512,42,4735,44531
"772",164,489,28,3998,17611
"773",512,508,37,5123,52510
"774",408,497,49,5252,41864
"775",522,506,38,4859,53334
"776",497,502,35,4953,51066
"777",316,508,33,4817,32886
"778",367,492,38,5169,37667
"779",349,499,33,5187,35909
"780",437,499,32,4603,44755
"781",590,497,33,5225,60306
"782",429,520,30,5130,43858
"783",412,503,47,4970,42260
"784",396,497,44,5251,40611
"785",481,523,32,4836,49006
"786",337,501,55,5042,34493
"787",323,485,49,5094,33371
"788",340,504,38,5075,34835
"789",497,513,18,5009,50916
"790",473,498,39,4979,48431
"791",387,507,43,4941,39547
"792",321,491,54,5350,33300
"793",400,491,52,5147,40953
"794",242,491,43,5150,25431
"795",448,502,47,4889,45841
"796",275,489,32,4799,28829
"797",435,504,28,4769,44629
"798",326,498,31,5112,33569
"799",356,494,40,5193,36677
"800",542,506,24,5188,55581
"801",446,507,44,4849,45928
"802",359,488,40,4904,37100
"803",410,484,46,4835,42292
"804",426,500,44,5096,43858
"805",580,508,46,4900,58830
"806",299,489,46,5072,31169
"807",351,495,46,5389,36303
"808",517,495,47,4737,52636
"809",361,512,51,5469,37266
"810",310,500,40,5148,31701
"811",313,506,45,4839,32248
"812",347,495,41,4991,35723
"813",415,515,48,5216,42271
"814",420,494,31,4571,43622
"815",515,486,46,4808,52700
"816",509,512,39,5216,51887
"817",624,482,35,4988,63374
"818",432,512,29,4965,43910
"819",382,505,31,5017,39556
"820",417,510,37,5329,42766
"821",468,491,43,4714,47607
"822",424,505,52,5124,43304
"823",301,490,46,4936,30778
"824",339,501,53,5641,35012
"825",467,497,29,4591,47737
"826",385,508,38,4650,39349
"827",416,497,38,5053,42740
"828",316,501,50,4568,32473
"829",480,514,41,5467,49137
"830",423,512,40,5082,43522
"831",407,511,21,5089,41743
"832",184,496,44,5218,19417
"833",297,504,25,4788,30589
"834",434,503,50,5350,44416
"835",434,491,38,4433,44253
"836",417,509,28,4972,42656
"837",327,498,30,5046,33839
"838",331,505,41,4509,34414
"839",523,498,44,5100,53045
"840",470,503,29,5055,47692
"841",440,506,46,4787,44855
"842",340,509,37,4868,34662
"843",291,498,39,4848,30329
"844",371,493,42,4991,38173
"845",497,509,34,5323,51213
"846",378,512,30,5002,38547
"847",352,518,31,5212,35840
"848",443,518,39,5046,45158
"849",337,502,40,4954,34645
"850",482,498,45,5147,49442
"851",398,498,30,4566,40751
"852",287,498,42,5451,29577
"853",410,500,32,5338,42122
"854",311,508,36,5110,32248
"855",236,504,35,5020,24693
"856",343,496,41,5201,34965
"857",353,502,35,5464,35963
"858",485,501,37,5399,49707
"859",457,516,45,4860,46443
"860",482,487,43,4677,48843
"861",521,494,17,4928,53009
"862",520,493,43,5215,52988
"863",541,504,40,5136,54535
"864",308,500,38,5076,31399
"865",413,502,56,5085,42498
"866",357,497,55,5005,36576
"867",437,487,25,4632,44915
"868",436,495,31,5117,44743
"869",517,510,51,5213,52408
"870",468,503,41,5049,47816
"871",286,507,50,5515,29375
"872",512,501,37,4572,52148
"873",416,514,51,5273,42480
"874",522,493,49,5178,53130
"875",368,504,28,4959,37601
"876",355,505,52,4901,36786
"877",315,490,47,4784,32508
"878",385,512,34,5063,39610
"879",304,496,33,5273,31515
"880",453,513,46,4725,46090
"881",536,516,43,4556,54460
"882",399,498,27,4681,40722
"883",400,507,29,4767,41221
"884",487,496,44,4778,50006
"885",245,497,27,5253,25246
"886",343,498,45,5029,35147
"887",261,501,53,4838,27181
"888",293,505,42,5037,30031
"889",393,493,44,5641,40218
"890",414,503,40,4555,42468
"891",338,498,41,5344,34803
"892",310,494,30,4884,32265
"893",440,499,45,4780,45182
"894",273,494,34,5145,28155
"895",512,493,40,4714,52338
"896",570,505,42,4993,57997
"897",328,506,32,5122,33425
"898",259,505,40,4567,26574
"899",403,479,47,5162,41293
"900",284,509,37,4812,29612
"901",324,490,32,5311,33555
"902",327,499,29,5015,33877
"903",394,506,37,5142,40234
"904",413,504,33,5639,42130
"905",344,491,43,4624,35284
"906",482,499,31,5112,49016
"907",469,498,31,4971,48008
"908",432,492,42,4978,44126
"909",287,483,42,4608,29589
"910",334,499,43,5290,34121
"911",326,488,43,5390,33871
"912",502,497,48,4958,51206
"913",470,500,36,5050,47727
"914",513,490,32,5168,52137
"915",465,501,31,4967,47590
"916",375,492,49,4860,38730
"917",315,502,33,4848,32650
"918",373,493,53,4966,38407
"919",289,495,48,4800,29645
"920",475,494,33,4731,49071
"921",442,497,43,4958,45150
"922",397,477,42,4913,40673
"923",352,494,46,4959,36361
"924",403,497,52,5684,41593
"925",257,496,38,5102,26876
"926",380,497,34,5177,38996
"927",335,492,38,5738,34597
"928",427,495,54,4813,43693
"929",271,495,35,5337,28423
"930",437,490,44,5106,44801
